City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Formosa,AR,62.58,mist,-26.1775,-58.1781,Hotel Portal del Sol
351,Cherskiy,RU,69.21,scattered clouds,68.75,161.3,Gostinitsa
352,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
358,Katsuura,JP,76.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
359,Mareeba,AU,65.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
360,Pacifica,US,66.42,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
361,Puerto Gaitan,CO,76.69,overcast clouds,4.3133,-72.0816,Brisas del Yucao
362,Chipinge,ZW,72.14,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
364,Birin,NP,66.4,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
367,Katherine,AU,64.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
368,Arica,CL,61.03,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
369,Dzilam Gonzalez,MX,78.22,overcast clouds,21.2833,-88.9333,posadas
374,Kitakyushu,JP,78.69,broken clouds,33.8333,130.8333,Active Resorts FUKUOKA YAHATA
375,Si Bun Ruang,TH,79.48,clear sky,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
377,Valle De Allende,MX,68.36,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
382,Port Moresby,PG,76.98,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
384,Winnemucca,US,66.25,clear sky,40.973,-117.7357,Winners Inn Casino
385,Karratha,AU,71.2,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
387,Baculin,PH,79.2,broken clouds,7.4525,126.5842,Shovy's Cove
388,Margate,GB,69.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
391,Carauari,BR,76.17,overcast clouds,-4.8828,-66.8958,Hotel Fellip
392,Omboue,GA,79.25,overcast clouds,-1.5746,9.2618,Hotel Olako
393,Vohibinany,MG,70.97,light rain,-17.35,49.0333,
394,Saint-Jean-Port-Joli,CA,75.88,overcast clouds,47.2171,-70.2658,Motel Blanche d'Haberville
395,Eirunepe,BR,78.46,overcast clouds,-6.6603,-69.8736,Atrás de você
396,Hamilton,US,71.11,heavy intensity rain,39.1834,-84.5333,Six Acres Bed & Breakfast
398,Sechura,PE,66.34,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
399,Ust-Uda,RU,64.06,scattered clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
400,Iztapa,GT,73.45,clear sky,13.9333,-90.7075,Villas de Puerto Viejo
405,Fandriana,MG,62.46,clear sky,-20.2333,47.3833,Fandriana
406,Yerbogachen,RU,62.17,overcast clouds,61.2767,108.0108,
407,Port Keats,AU,73.15,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
409,Manta,EC,71.76,overcast clouds,-0.95,-80.7333,Balandra Hotel
410,Hellvik,NO,63.77,broken clouds,59.9156,5.781,Rabben feriesenter AS
411,Balakhta,RU,68.94,few clouds,55.38,91.6,Bereg
416,Rabo De Peixe,PT,67.51,scattered clouds,37.8,-25.5833,Quinta das Giestas
419,Dingle,PH,79.14,light rain,10.9995,122.6711,SEGAYA PROPERTY
422,Richards Bay,ZA,75.25,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
423,Sao Gabriel Da Cachoeira,BR,75.0,mist,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
426,Sept-Iles,CA,61.23,broken clouds,50.2001,-66.3821,Comfort Inn
428,Leshukonskoye,RU,74.05,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
430,Miguel Auza,MX,62.56,overcast clouds,24.2933,-103.4503,Hotel Del Centro
432,Rantepao,ID,67.5,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
434,Mokrousovo,RU,61.21,moderate rain,55.8103,66.7653,Tserkov'
438,Mabaruma,GY,79.81,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
439,Xining,CN,64.51,few clouds,36.6167,101.7667,Super Leisure Hotel
441,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
445,Kitaibaraki,JP,73.35,overcast clouds,36.7833,140.75,Isohara Seaside Hotel
446,Shingu,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
447,Ayagoz,KZ,74.57,overcast clouds,47.9714,80.4392,Gostinitsa Nur
450,Takoradi,GH,78.78,broken clouds,4.8845,-1.7554,Raybow International Hotel
451,Monduli,TZ,69.8,overcast clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
458,Gamba,GA,78.39,overcast clouds,-2.65,10.0,
459,Blyth,GB,73.29,scattered clouds,55.1271,-1.5086,Carlton house
460,Palmer,US,70.99,mist,42.1584,-72.3287,Wedgewood Motel
461,Orissaare,EE,75.96,clear sky,58.5592,23.0826,Vanatoa Tourism Farm
462,Sao Joao Da Barra,BR,68.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
463,Chernyshevskiy,RU,62.08,overcast clouds,63.0128,112.4714,Chernyseyskiy
466,Billings,US,60.57,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
468,Maningrida,AU,72.34,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
469,Suntar,RU,60.31,overcast clouds,62.1444,117.6319,Дом у Мамы
471,Sorland,NO,69.87,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
472,Glendive,US,67.69,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
475,Baruun-Urt,MN,69.22,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
476,Dauriya,RU,66.13,broken clouds,49.9333,116.8667,
477,Roebourne,AU,71.42,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
478,Martapura,ID,78.89,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
479,Irece,BR,77.18,clear sky,-11.3042,-41.8558,RADAR INN HOTEL
480,Miyako,JP,68.92,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
481,Melville,US,73.11,overcast clouds,40.7934,-73.4151,Marriott Melville Long Island
482,Gejiu,CN,60.31,overcast clouds,23.306,103.1635,Hongtai Commercial Hotel
483,Ramos Arizpe,MX,64.58,overcast clouds,25.55,-100.9667,Mario's Inn
486,Romulus,US,66.25,moderate rain,42.2223,-83.3966,Howard Johnson by Wyndham Romulus Detroit Metro Airport
487,Porto Nacional,BR,77.0,broken clouds,-10.7081,-48.4172,Vila Real Hotel
490,Petatlan,MX,76.8,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
497,Storforshei,NO,73.18,broken clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
501,Nabire,ID,76.57,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
505,El Sauzal,MX,66.42,broken clouds,31.9,-116.6833,La Rosas Hotel & Spa
509,Micheweni,TZ,79.79,scattered clouds,-4.9667,39.8333,
512,Roald,NO,69.17,few clouds,62.5833,6.1333,Flem Cabins
516,Lubango,AO,75.06,clear sky,-14.9172,13.4925,Hotel Serra da Chela
518,Presidencia Roque Saenz Pena,AR,67.82,broken clouds,-26.7852,-60.4388,Hotel Gualok
519,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
522,Bend,US,61.48,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
523,Sindor,RU,73.2,broken clouds,62.8629,51.8905,
526,Pueblo Rico,CO,63.88,overcast clouds,5.2383,-76.0364,Hotel Don Pedro
529,Kimbe,PG,75.92,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
530,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
532,Tres Lagoas,BR,74.37,clear sky,-20.7511,-51.6783,Druds Express Hotel
533,Mvuma,ZW,73.06,clear sky,-19.2792,30.5283,Nyangombe Backpackers
538,Tinskoy,RU,66.18,scattered clouds,56.1525,96.9161,Kalinin
539,Bubaque,GW,79.75,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
540,Morondava,MG,79.57,clear sky,-20.2833,44.2833,La Case Bambou
541,Suwanee,US,73.31,overcast clouds,34.0515,-84.0713,Fairfield Inn & Suites by Marriott Atlanta Suwanee
543,Kirakira,SB,79.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
546,Teguldet,RU,70.2,overcast clouds,57.3064,88.1667,
547,Amapa,BR,79.05,scattered clouds,1.0,-52.0,
549,Maple Creek,CA,68.41,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
550,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
553,Arawa,PG,76.35,light rain,-6.2132,155.5367,Coastline Guest House
555,Lumsden,CA,70.02,clear sky,50.6501,-104.8678,Lumsden Hotel & Steak Pit
557,Caravelas,BR,76.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
560,Botwood,CA,65.89,overcast clouds,49.1499,-55.3482,Exploits Hostel
563,Amberieu-En-Bugey,FR,77.47,clear sky,45.9589,5.3432,Ambotel
564,Itapolis,BR,73.87,clear sky,-21.5956,-48.8128,Hotel dos Viajantes
566,Campos,BR,68.05,clear sky,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
569,Kourou,GF,79.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
570,Bemban,MY,76.8,moderate rain,2.2684,102.3746,NeoHomeStay Gapam Lestari
573,Biak,ID,75.31,light rain,-0.9131,122.8766,Penginapan Kim
577,Verkhniy Ufaley,RU,65.01,broken clouds,56.0567,60.2306,"Gostinitsa ""Domashniy Uyut"" G. Verkhny Ufaley"
578,Mayna,RU,74.19,overcast clouds,54.1135,47.6231,Gostinnitsa
579,Lago Da Pedra,BR,79.05,broken clouds,-4.3333,-45.1667,
580,Meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Kost Pria
581,Rudnogorsk,RU,61.65,overcast clouds,57.2639,103.7519,
585,Mishkino,RU,61.16,light rain,55.3389,63.9175,Ip Klestova
586,Sao Paulo Do Potengi,BR,77.11,broken clouds,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
587,Half Moon Bay,US,65.89,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
591,Ponta Delgada,PT,68.72,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
592,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
593,Cabinda,AO,78.94,broken clouds,-5.55,12.2,Hotel Maiombe
596,Gimli,CA,69.82,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
599,Vangaindrano,MG,73.15,light rain,-23.35,47.6,Hotel Fanilo
600,Saint Anthony,US,66.31,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
602,Miles City,US,67.17,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
610,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
611,Bayonet Point,US,79.95,scattered clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
612,El Jicaro,GT,74.73,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
613,Pringsewu,ID,74.77,few clouds,-5.3582,104.9744,Urban Style by Front One
614,Visby,SE,77.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
617,Raudeberg,NO,65.19,clear sky,61.9875,5.1352,Nordre Silda.
621,Barabinsk,RU,73.71,scattered clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
624,Pilot Butte,CA,68.67,few clouds,50.4668,-104.4178,Sleep Inn Regina East
625,Luganville,VU,77.43,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
626,Aguimes,ES,73.65,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
627,Limoges,FR,70.36,clear sky,45.75,1.3333,Hôtel Le Saint Eloi Logis & SPA - Restaurant C. Pasquier
628,Northam,GB,62.38,moderate rain,51.0333,-4.2167,Durrant House Hotel
631,Novosergiyevka,RU,73.87,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
632,Enshi,CN,74.39,heavy intensity rain,30.3,109.4833,Moevenpick Enshi
634,Metro,ID,76.33,few clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
635,La Ronge,CA,68.25,smoke,55.1001,-105.2842,Northland Motor Hotel
637,Ubinskoye,RU,75.76,scattered clouds,55.3068,79.6802,Gostinitsa Siberia
640,Warman,CA,68.09,scattered clouds,52.3168,-106.5679,Days Inn & Suites by Wyndham Warman Legends Centre
641,Fukue,JP,78.51,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
643,Alice Springs,AU,62.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
645,Polson,US,61.77,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
647,Yertarskiy,RU,66.56,overcast clouds,56.7902,64.2995,
651,Hope,US,72.28,heavy intensity rain,33.6671,-93.5916,Best Western Hope
652,Roma,US,69.66,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
654,Innisfail,AU,63.7,scattered clouds,-17.5333,146.0333,Moondarra Motel
656,Oktyabrskiy,RU,73.13,clear sky,54.4815,53.471,Уязы-Тау гостиница
658,Vitim,RU,63.52,broken clouds,59.4511,112.5578,Gostinitsa V Apteke
660,Argelia,CO,68.36,broken clouds,2.2556,-77.2488,Hotel San Fernando Argelia
661,Sistranda,NO,64.36,overcast clouds,63.7256,8.834,Hotell Frøya
663,Bluefield,US,71.15,few clouds,37.2698,-81.2223,Economy Inn
666,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
672,Aliwal North,ZA,66.94,clear sky,-30.6937,26.7114,Queens Terrace B&B
673,Noumea,NC,70.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
676,George Town,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
677,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
678,Kieta,PG,78.13,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
679,Beisfjord,NO,73.04,overcast clouds,68.3751,17.5988,
682,Tadine,NC,70.5,overcast clouds,-21.55,167.8833,
683,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
687,Monte Carmelo,BR,70.97,clear sky,-18.7247,-47.4986,Park hotel
695,Kuna,US,72.41,clear sky,43.4918,-116.4201,Winfield Springs
696,Domoni,KM,78.62,scattered clouds,-12.2569,44.5319,Al Djadid
699,Ferrol,ES,70.72,overcast clouds,43.4832,-8.2369,Carrís Almirante
703,Puerto Carreno,CO,76.86,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
